reporterDesc_cleaned;Total_Trade_Value;Num_Transactions;Average_Trade_Value;Total_Trade_Value_Formatted;Average_Trade_Value_Formatted
South Africa;6275345366;338;18566110,55;$6,275,345,366;$18,566,111
Other Asia, Nes;5665653175;48;118034441,1;$5,665,653,175;$118,034,441
Viet Nam;5398361214;77;70108587,19;$5,398,361,214;$70,108,587
Colombia;5230009117;149;35100732,33;$5,230,009,117;$35,100,732
Greece;4256213092;257;16561140,44;$4,256,213,092;$16,561,140
Israel;3702935000;48;77144479,17;$3,702,935,000;$77,144,479
Norway;3523147516;48;73398906,59;$3,523,147,516;$73,398,907
Saudi Arabia;3520803178;85;41421213,86;$3,520,803,178;$41,421,214
Romania;3496884029;369;9476650,486;$3,496,884,029;$9,476,650
Bulgaria;3338958293;346;9650168,476;$3,338,958,293;$9,650,168
Russian Federation;3295941744;24;137330906;$3,295,941,744;$137,330,906
New Zealand;3113535796;119;26164166,35;$3,113,535,796;$26,164,166
Hungary;2980828634;274;10878936,62;$2,980,828,634;$10,878,937
Slovakia;2713886276;302;8986378,398;$2,713,886,276;$8,986,378
Slovenia;2423018727;295;8213622,803;$2,423,018,727;$8,213,623
Finland;2385213848;48;49691955,17;$2,385,213,848;$49,691,955
Luxembourg;2342516766;358;6543342,921;$2,342,516,766;$6,543,343
Iceland;2214223682;48;46129660,03;$2,214,223,682;$46,129,660
Philippines;2198525766;46;47794038,39;$2,198,525,766;$47,794,038
United Arab Emirates;2169261047;73;29715904,76;$2,169,261,047;$29,715,905
Chile;1989243677;53;37532899,57;$1,989,243,677;$37,532,900
Iran;1809268834;29;62388580,48;$1,809,268,834;$62,388,580
Argentina;1760647909;54;32604590,92;$1,760,647,909;$32,604,591
Dominican Rep.;1671213487;221;7562051,977;$1,671,213,487;$7,562,052
Georgia;1437830807;376;3824018,103;$1,437,830,807;$3,824,018
Armenia;1364835423;436;3130356,476;$1,364,835,423;$3,130,356
Ukraine;1228992101;48;25604002,11;$1,228,992,101;$25,604,002
Estonia;1156998002;314;3684707,011;$1,156,998,002;$3,684,707
Lithuania;1121779579;48;23370407,9;$1,121,779,579;$23,370,408
Egypt;1077981295;46;23434375,99;$1,077,981,295;$23,434,376
Pakistan;1073321242;101;10626942,99;$1,073,321,242;$10,626,943
Cyprus;1054028811;298;3537009,432;$1,054,028,811;$3,537,009
Serbia;1045570958;189;5532121,471;$1,045,570,958;$5,532,121
Croatia;1009180467;48;21024593,06;$1,009,180,467;$21,024,593
Rep. Of Moldova;971155748;351;2766825,493;$971,155,748;$2,766,825
Latvia;869529471,9;216;4025599,407;$869,529,472;$4,025,599
Uzbekistan;841054114,8;91;9242352,91;$841,054,115;$9,242,353
Ecuador;826375162,4;117;7063035,576;$826,375,162;$7,063,036
Kazakhstan;820837445,6;130;6314134,197;$820,837,446;$6,314,134
Peru;816760981,6;86;9497220,716;$816,760,982;$9,497,221
Tunisia;807327024,3;43;18775047,08;$807,327,024;$18,775,047
Indonesia;788067921;93;8473848,613;$788,067,921;$8,473,849
Uruguay;758885636,8;130;5837581,822;$758,885,637;$5,837,582
Sri Lanka;708923053,6;99;7160838,925;$708,923,054;$7,160,839
Kuwait;520767677,2;40;13019191,93;$520,767,677;$13,019,192
Nigeria;511477967,7;56;9133535,137;$511,477,968;$9,133,535
Lebanon;452948043,3;62;7305613,601;$452,948,043;$7,305,614
Belarus;406595600;24;16941483,33;$406,595,600;$16,941,483
Jordan;390307545;61;6398484,344;$390,307,545;$6,398,484
Azerbaijan;379334414,8;129;2940576,859;$379,334,415;$2,940,577
Panama;375264202;70;5360917,171;$375,264,202;$5,360,917
North Macedonia;361875107;170;2128677,1;$361,875,107;$2,128,677
Bosnia Herzegovina;356306765,3;157;2269469,842;$356,306,765;$2,269,470
Morocco;347084315,8;39;8899597,84;$347,084,316;$8,899,598
Guatemala;310812104;46;6756784,87;$310,812,104;$6,756,785
Oman;256336932,6;58;4419602,285;$256,336,933;$4,419,602
Namibia;240712061,1;328;733878,235;$240,712,061;$733,878
Bolivia (Plurinational State Of);187813235,5;144;1304258,58;$187,813,236;$1,304,259
Qatar;182532531,8;24;7605522,16;$182,532,532;$7,605,522
Malta;180929333,4;137;1320652,069;$180,929,333;$1,320,652
Mauritius;161841622,1;181;894152,6083;$161,841,622;$894,153
Angola;159782047,5;230;694704,5543;$159,782,047;$694,705
China, Macao Sar;153611110,1;96;1600115,73;$153,611,110;$1,600,116
Albania;146667891,1;71;2065744,945;$146,667,891;$2,065,745
Mongolia;123655697,8;85;1454772,915;$123,655,698;$1,454,773
Kyrgyzstan;122307598;147;832024,4762;$122,307,598;$832,024
Bahrain;101099056,8;43;2351140,856;$101,099,057;$2,351,141
El Salvador;100420265,1;47;2136601,384;$100,420,265;$2,136,601
Andorra;99728414,27;34;2933188,655;$99,728,414;$2,933,189
French Polynesia;94737202,3;99;956941,4374;$94,737,202;$956,941
Barbados;89957624;64;1405587,875;$89,957,624;$1,405,588
Montenegro;89454216,45;116;771157,0384;$89,454,216;$771,157
Cayman Isds;85157636,54;81;1051328,846;$85,157,637;$1,051,329
Paraguay;83013083,26;39;2128540,596;$83,013,083;$2,128,541
Trinidad And Tobago;82319289,72;148;556211,417;$82,319,290;$556,211
Madagascar;74158031,58;139;533511,0185;$74,158,032;$533,511
Libya;74103310;4;18525827,5;$74,103,310;$18,525,828
Kenya;67246446,02;81;830203,0372;$67,246,446;$830,203
State Of Palestine;62125299,18;29;2142251,696;$62,125,299;$2,142,252
Nicaragua;62010302,52;38;1631850,066;$62,010,303;$1,631,850
Honduras;56336699,31;35;1609619,98;$56,336,699;$1,609,620
Jamaica;44399986,77;69;643478,0691;$44,399,987;$643,478
Nepal;43220926,39;19;2274785,599;$43,220,926;$2,274,786
Aruba;43196335,95;39;1107598,358;$43,196,336;$1,107,598
Botswana;40520506,18;119;340508,4553;$40,520,506;$340,508
Ethiopia;40383425,14;31;1302691,134;$40,383,425;$1,302,691
Brunei Darussalam;37947390,36;89;426375,1725;$37,947,390;$426,375
Ghana;37190183,65;149;249598,548;$37,190,184;$249,599
United Rep. Of Tanzania;32575123,17;45;723891,6259;$32,575,123;$723,892
Bermuda;29897284,04;24;1245720,168;$29,897,284;$1,245,720
Uganda;29267921,58;48;609748,3663;$29,267,922;$609,748
Maldives;28104883,82;59;476353,963;$28,104,884;$476,354
Zambia;27568233,45;119;231665,8273;$27,568,233;$231,666
Myanmar;27312806,25;96;284508,3984;$27,312,806;$284,508
Curaçao;26648841,25;16;1665552,578;$26,648,841;$1,665,553
Côte D'Ivoire;23570539,62;47;501500,8429;$23,570,540;$501,501
Cuba;22394569,47;27;829428,4989;$22,394,569;$829,428
Mozambique;21904507,1;86;254703,5709;$21,904,507;$254,704
Senegal;21049619,52;32;657800,6099;$21,049,620;$657,801
Zimbabwe;18468199,93;52;355157,691;$18,468,200;$355,158
Suriname;16715475,57;80;208943,4447;$16,715,476;$208,943
Guyana;14450896,62;118;122465,2256;$14,450,897;$122,465
Togo;13463992,71;125;107711,9417;$13,463,993;$107,712
Bahamas;13034391,25;39;334215,1602;$13,034,391;$334,215
Burkina Faso;12769875,58;68;187792,2879;$12,769,876;$187,792
Cambodia;11710432,48;64;182975,5075;$11,710,432;$182,976
Rwanda;10807580,08;39;277117,4379;$10,807,580;$277,117
Dem. Rep. Of The Congo;9173215,822;49;187208,4862;$9,173,216;$187,208
Seychelles;8575139,472;58;147847,2323;$8,575,139;$147,847
Malawi;7713863,661;93;82944,77055;$7,713,864;$82,945
Mali;7556695,956;19;397720,8398;$7,556,696;$397,721
Lao People'S Dem. Rep.;6889863,07;68;101321,5157;$6,889,863;$101,322
Eswatini;5982767,71;61;98078,15918;$5,982,768;$98,078
Tajikistan;5768440;21;274687,619;$5,768,440;$274,688
Niger;5641476,565;30;188049,2188;$5,641,477;$188,049
Benin;4273262,724;76;56227,14111;$4,273,263;$56,227
Burundi;4108427,789;108;38040,99805;$4,108,428;$38,041
Fiji;4082107,832;53;77020,90249;$4,082,108;$77,021
Cameroon;3926484,245;26;151018,6248;$3,926,484;$151,019
Cabo Verde;3852099,261;61;63149,16821;$3,852,099;$63,149
Grenada;3828271,824;86;44514,78865;$3,828,272;$44,515
Belize;3411741,95;94;36295,12713;$3,411,742;$36,295
Papua New Guinea;3246074,993;26;124849,0382;$3,246,075;$124,849
Gabon;2793156,888;30;93105,2296;$2,793,157;$93,105
Lesotho;2480352,023;99;25054,06084;$2,480,352;$25,054
Bhutan;2353102,557;8;294137,8196;$2,353,103;$294,138
Mauritania;1388853,785;29;47891,50983;$1,388,854;$47,892
Congo;1355918,821;31;43739,31681;$1,355,919;$43,739
Central African Rep.;1196057,646;15;79737,1764;$1,196,058;$79,737
Timor-Leste;1038697,72;20;51934,886;$1,038,698;$51,935
Djibouti;848507,957;9;94278,66189;$848,508;$94,279
Antigua And Barbuda;622489,075;63;9880,778968;$622,489;$9,881
Saint Vincent And The Grenadines;588847,94;30;19628,26467;$588,848;$19,628
Dominica;440406,346;19;23179,28137;$440,406;$23,179
Comoros;415233,218;22;18874,23718;$415,233;$18,874
Saint Lucia;360211,61;13;27708,58538;$360,212;$27,709
Samoa;349753,294;20;17487,6647;$349,753;$17,488
Liberia;284053,06;16;17753,31625;$284,053;$17,753
Tonga;239770,396;15;15984,69307;$239,770;$15,985
Gambia;238813,513;21;11372,07205;$238,814;$11,372
Sao Tome And Principe;156968,01;37;4242,378649;$156,968;$4,242
Yemen;149858,41;3;49952,80333;$149,858;$49,953
Montserrat;100549,723;17;5914,689588;$100,550;$5,915
Kiribati;32197,893;6;5366,3155;$32,198;$5,366
